brand,system_type,system_code,static_calibration,dynamic_calibration,target_specs,alignment_requirements,ride_height_requirements,battery_requirements,required_tools,calibration_triggers,dtc_blockers,special_quirks,direct_links
Toyota,Forward Camera,FCAM,Yes - 2-3 printed targets,No,TSS printed targets per model,Wheel alignment verified,Standard ride height,Standard 12V,Techstream;Printed targets;Alignment rack,Windshield R&R;Camera R&R;Collision;Alignment change,Active DTCs in camera system,VCH must be cleared post-calibration,https://techinfo.toyota.com
Toyota,Front Radar,FRR,Yes - trihedral reflector,No,P/N 09870-60040 reflector,Wheel alignment verified,Standard ride height,Standard 12V,Techstream;Trihedral reflector,Bumper R&R;Radar R&R;Front collision,Radar DTCs,None noted,https://techinfo.toyota.com
Honda,Multipurpose Camera,MPC,Yes - 2-3 targets,Sometimes,Honda-specific targets per model,4-wheel alignment verified,Standard ride height,Battery support STRONGLY recommended,i-HDS;OEM targets;Battery support,Windshield R&R;Camera R&R;Collision;Airbag deployment,Camera DTCs;Module faults,OEM windshield STRONGLY recommended - aftermarket causes failures,https://techinfo.honda.com
Honda,Millimeter Wave Radar,MWR,Yes - bubble level tool,No,Bubble level alignment,4-wheel alignment verified,Standard ride height,Battery support recommended,i-HDS;Bubble level tool,Bumper R&R;Radar R&R;Front collision,Radar DTCs,Must be level for calibration,https://techinfo.honda.com
Honda,BSI Radar,BSI,Yes - laser with rear targets,No,Rear target boards,4-wheel alignment verified,Standard ride height,Standard 12V,i-HDS;Laser tool;Rear targets,Rear bumper R&R;Sensor R&R,BSI DTCs,Laser alignment critical,https://techinfo.honda.com
Honda,LaneWatch Camera,LWC,Yes - stationary target,No,LaneWatch target board,N/A,Standard ride height,Standard 12V,Target board only - no i-HDS,Door adjustment;Mirror R&R;Camera R&R,None,No diagnostic tool required,https://techinfo.honda.com
Nissan,Forward Camera,FCAM,Yes - printed targets,No,Nissan-specific targets,PERFECT alignment MANDATORY - thrust angle ZERO,Standard ride height,Standard 12V,CONSULT-III Plus;Targets,Windshield R&R;Camera R&R;Collision;Alignment,Camera DTCs,Thrust angle must be exactly zero - critical requirement,https://nissan-techinfo.com
Nissan,Front Radar,FRR,Yes - bubble level,No,Bubble level specifications,PERFECT alignment MANDATORY,Standard ride height,Standard 12V,CONSULT-III Plus;Bubble level;Suction cup,Bumper R&R;Repair;Radar R&R;Alignment,Radar DTCs,Significant safety risk if not calibrated per position statement,https://nissan-techinfo.com
Nissan,Around View Monitor,AVM,Yes - target pattern,No,4-corner target boards,Standard alignment,Standard ride height,Standard 12V,CONSULT-III Plus;AVM targets,Any camera R&R;Mounting part R&R,Camera DTCs,All 4 cameras must calibrate together,https://nissan-techinfo.com
Nissan,Steering Angle Sensor,SAS,Yes - via scan tool,No,N/A,After alignment/steering work,N/A,Standard 12V,CONSULT-III Plus,Alignment;Steering component R&R;Suspension work,SAS DTCs,Reset mandatory after any alignment,https://nissan-techinfo.com
Subaru,EyeSight Cameras,ESC,Yes - 13ft setup with targets,Yes - 10 min test drive required,Target 4070mm from front wheel centers,FULL alignment with thrust angle in spec MANDATORY,Standard ride height,Standard 12V,SSM4/SSM5;EyeSight targets;Plumb bob;Level floor box,Windshield R&R;Alignment;Suspension R&R;Camera R&R;Front collision,EyeSight DTCs;SAS DTCs,Level floor ±4mm tolerance CRITICAL; 13ft marked box required,https://techinfo.subaru.com
Subaru,Steering Angle Sensor,SAS,Yes - via SSM,No,N/A,Calibrate before EyeSight,N/A,Standard 12V,SSM4/SSM5,Before EyeSight cal;Alignment;Steering work,SAS DTCs,Must calibrate IN ORDER: alignment > SAS > lateral G > camera,https://techinfo.subaru.com
